ProductID,Language,ReviewText
P1046,zh,Excellent build quality!
P1010,es,Too noisy and unreliable.
P1041,fr,This product gets very hot when charging.
P1029,zh,Too noisy and unreliable.
P1041,zh,Excellent build quality!
P1023,en,Seems like a knock-off product.
P1036,fr,Too noisy and unreliable.
P1020,es,This product gets very hot when charging.
P1080,zh,Excellent build quality!
P1023,es,Too noisy and unreliable.
P1033,zh,Seems like a knock-off product.
P1005,es,Too noisy and unreliable.
P1076,en,This product gets very hot when charging.
P1099,zh,Too noisy and unreliable.
P1001,fr,Excellent build quality!
P1028,zh,Seems like a knock-off product.
P1029,fr,This product gets very hot when charging.
P1094,zh,Excellent build quality!
P1035,es,Seems like a knock-off product.
P1056,en,Seems like a knock-off product.
P1025,en,Excellent build quality!
P1071,es,Battery swells after 6 months.
P1090,es,Too noisy and unreliable.
P1066,es,Seems like a knock-off product.
P1015,fr,Too noisy and unreliable.
P1050,es,Too noisy and unreliable.
P1026,zh,Battery swells after 6 months.
P1005,en,Excellent build quality!
P1004,en,This product gets very hot when charging.
P1012,es,Battery swells after 6 months.
P1000,es,Seems like a knock-off product.
P1009,en,Seems like a knock-off product.
P1012,fr,This product gets very hot when charging.
P1099,fr,Excellent build quality!
P1029,fr,Seems like a knock-off product.
P1090,es,Too noisy and unreliable.
P1014,zh,Too noisy and unreliable.
P1063,es,Battery swells after 6 months.
P1070,zh,Seems like a knock-off product.
P1049,fr,Seems like a knock-off product.
P1027,es,Excellent build quality!
P1026,zh,Battery swells after 6 months.
P1081,es,Excellent build quality!
P1043,fr,Excellent build quality!
P1090,en,Seems like a knock-off product.
P1029,en,Battery swells after 6 months.
P1001,es,Too noisy and unreliable.
P1025,fr,Excellent build quality!
P1057,zh,Seems like a knock-off product.
P1011,fr,Too noisy and unreliable.
P1036,fr,Seems like a knock-off product.
P1085,es,Battery swells after 6 months.
P1035,zh,This product gets very hot when charging.
P1081,es,This product gets very hot when charging.
P1045,zh,This product gets very hot when charging.
P1021,es,Excellent build quality!
P1092,es,Battery swells after 6 months.
P1036,fr,Too noisy and unreliable.
P1025,es,Too noisy and unreliable.
P1072,zh,Seems like a knock-off product.
P1084,fr,This product gets very hot when charging.
P1008,en,This product gets very hot when charging.
P1046,en,Excellent build quality!
P1085,en,Too noisy and unreliable.
P1064,en,This product gets very hot when charging.
P1023,fr,This product gets very hot when charging.
P1061,en,Excellent build quality!
P1023,en,This product gets very hot when charging.
P1051,es,Too noisy and unreliable.
P1049,fr,Seems like a knock-off product.
P1046,fr,Seems like a knock-off product.
P1037,zh,Battery swells after 6 months.
P1075,zh,Too noisy and unreliable.
P1001,zh,Too noisy and unreliable.
P1059,fr,Excellent build quality!
P1055,fr,Battery swells after 6 months.
P1003,en,This product gets very hot when charging.
P1054,fr,This product gets very hot when charging.
P1008,zh,Too noisy and unreliable.
P1047,en,Battery swells after 6 months.
P1022,es,Seems like a knock-off product.
P1006,en,This product gets very hot when charging.
P1011,en,Seems like a knock-off product.
P1087,zh,Seems like a knock-off product.
P1079,zh,Excellent build quality!
P1085,zh,This product gets very hot when charging.
P1021,fr,Battery swells after 6 months.
